Date,Open,High,Low,Close,Adj Close,Volume
8/1/2021,5775,6175,5625,6100,5822.413086,726088000
9/1/2021,6100,6350,5900,6150,5870.137695,770940800
10/1/2021,6150,7325,6050,7175,6848.494141,1296133600
11/1/2021,7250,7500,6850,7000,6681.45752,944089900
12/1/2021,7000,7350,6950,7025,6705.319824,616972700
1/1/2022,7100,7775,6925,7475,7134.842285,724225600
2/1/2022,7525,7950,7350,7700,7349.603516,806827300
3/1/2022,7675,8100,7500,7900,7540.501953,1611658200
4/1/2022,7900,9075,7575,8950,8950,1345265900
5/1/2022,8950,8950,7725,8500,8500,1434930200
6/1/2022,8325,8500,7900,7925,7925,1318737000
7/1/2022,7875,7925,7275,7400,7400,219044600
7/5/2022,7450,7725,7450,7650,7650,44214100
